,Lot,PPN,cote,titre,nom de fichier attendu v2,Nalaka (JP2),handle Nakala jp2,poids (MB),georef,handle_full_georef,handle geotiff,handle geotiff pdf,handle geotiff points,handle geotiff jp2,poids (MB).1,northlimit,southlimit,westlimit,eastlimit,group,Notes
0,Lot 1,174747179,10-02-01-01,Afrique pour la petite géographie méthodique et le manuel de géographie Achille Meissas et Michelot,B335222107_10_02_01_01_001.jp2,,11280/b625eaa7,16.7,,,,,,,,39.72,-37.31,-39.79,65.89,,
1,Lot 1,174773323,10-02-01-02,L'expansion des nations européennes en Afrique,B335222107_10_02_01_02_001.jp2,,11280/ac3d6625,30.3,,,,,,,,44.92,-41.27,-21.21,60.1,,
2,Lot 1,175080690,10-02-01-03,"Aventures, périls et découvertes des voyageurs à travers le monde. Afrique, principaux explorateurs",B335222107_10_02_01_03_001.jp2,,11280/663a86d9,29.8,,,,,,,,45.87,-38.36,-55.1,94.33,,
3,Lot 1,175082685,10-02-01-04,Afrique physique dressée et dessinée par J.V. Barbier,B335222107_10_02_01_04_001.jp2,,11280/75007323,79.9,,,,,,,,40.16,-40.97,-50.64,76.79,,
4,Lot 1,,10-02-02-01,Atlas de Géographie générale. Afrique,B335222107_10_02_02_01_001.jp2,,11280/0f909aba,55.6,,,,,,,,,,,,,Intérieur d'un atlas : juste du texte
5,Lot 1,,10-02-02-01,Atlas de Géographie générale. Afrique,B335222107_10_02_02_01_002.jp2,,11280/ce9abc41,110.6,,,,,,,,,,,,,
6,Lot 1,,10-02-02-01,Atlas de Géographie générale. Afrique,B335222107_10_02_02_01_003.jp2,,11280/430d7966,57.8,,,,,,,,,,,,,
7,Lot 1,177116692,10-02-02-02,Algérie et Tunisie,B335222107_10_02_02_02_001.jp2,,11280/e45299d0,108.0,,,,,,,,37.57,29.22,-2.28,11.55,,
8,Lot 1,177117192,10-02-02-03,Région saharienne française,B335222107_10_02_02_03_001.jp2,,11280/313d8726,58.0,,,,,,,,37.66,19.56,-3.03,11.24,,
9,Lot 1,177118849,10-02-02-04,Afrique centrale. Sénégal-Niger,B335222107_10_02_02_04_001.jp2,,11280/4fb29044,57.9,,,,,,,,17.87,-4.79,-24.18,15.24,,
10,Lot 1,177119276,10-02-02-05,Afrique centrale. Congo-Nil,B335222107_10_02_02_05_001.jp2,,11280/8cb27585,53.6,,,,,,,,17.88,-4.08,12.31,51.06,,
11,Lot 1,177122250,10-02-02-06,Afrique,B335222107_10_02_02_06_001.jp2,,11280/ac1f8eea,113.0,,,,,,,,45.55,-44.97,-28.58,69.33,,
12,Lot 1,177122838,10-02-02-07,Afrique (centrale et australe),B335222107_10_02_02_07_001.jp2,,11280/3cb76b90,288.8,,,,,,,,20.64,-35.75,-23.13,60.0,,
13,Lot 1,177041862,10-02-04-01,Algérie d'après les cartes de l'Etat Major et les documents du Ministère de la Guerre,B335222107_10_02_04_01_001.jp2,,11280/575c1a38,181.9,,,,,,,,37.49,31.5,-2.19,8.83,,
14,Lot 1,177039620,10-02-05-01,"Algérie, colonie française. Région du sud",B335222107_10_02_05_01_001.jp2,,11280/bad9740f,56.9,,,,,,,,37.97,33.38,-2.92,11.1,,
15,Lot 1,176999663,10-02-05-02,Congrès d'Alger. Carte des excursions,B335222107_10_02_05_02_001.jp2,,11280/e6216def,15.9,,,,,,,,36.99,35.87,2.0,4.42,,
16,Lot 1,176995021,10-02-05-03,Carte de l'Algérie indiquant les centres de colonisation à peupler pendant la campagne agricole 1876-1877,B335222107_10_02_05_03_001.jp2,,11280/ae4da717,36.9,,,,,,,,42.68,33.57,-3.64,10.96,,
17,Lot 1,176996036,10-02-05-04,Carte de l'Algérie indiquant les centres de colonisation à créer pendant l'année 1880,B335222107_10_02_05_04_001.jp2,,11280/6d7771c5,38.2,,,,,,,,42.5,34.0,-3.67,11.03,,
18,Lot 1,176984216,10-02-05-05,Carte des étapes de la province d'Oran,B335222107_10_02_05_05_001.jp2,,11280/b520e5af,55.5,,,,,,,,37.16,33.58,-2.24,2.66,,
19,Lot 1,176986081,10-02-05-06,Carte des étapes de la province d'Alger,B335222107_10_02_05_06_001.jp2,,11280/2bb21275,56.4,,,,,,,,37.02,33.71,0.26,5.06,,
20,Lot 1,176987355,10-02-05-07,Carte des étapes de la province de Constantine,B335222107_10_02_05_07_001.jp2,,11280/1dd9b4f3,54.6,,,,,,,,37.61,34.12,3.79,8.8,,
21,Lot 1,176982795,10-02-05-09,Carte des divisions administratives des territoires du sud,B335222107_10_02_05_09_001.jp2,,11280/77d0e9a8,78.2,,,,,,,,37.95,24.16,-3.7,11.97,,
22,Lot 1,176980709,10-02-05-10,Carte des divisions administratives de l'Algérie,B335222107_10_02_05_10_001.jp2,,11280/2b0839d4,106.4,,,,,,,,37.91,24.0,-6.1,12.0,,
23,Lot 1,174777795,10-02-05-12,Constantine,B335222107_10_02_05_12_001.jp2,,11280/4998f27b,116.4,,,11280/1d2f5e6e,11280/4e6ad1ee,11280/9147d0cc,11280/01583b4c,,,,,,,
24,Lot 1,176898948,10-02-05-13,Plan d'Oran et ses environs,B335222107_10_02_05_13_001.jp2,,11280/86e4bc6b,127.8,,,11280/e53c7dc1,11280/7ea7ecd1,11280/c56323f6,11280/a0b36b87,,,,,,,
25,Lot 1,049454749,10-02-06-01,Carte géologique provisoire de la province de Constantine et du Cercle de Bou-Saada,B335222107_10_02_06_01_001.jp2,,11280/c1ae4c6d,111.1,,,,,,,,37.3,33.65,2.9,8.92,,
26,Lot 1,176872329,10-02-06-03,Carte des forages artésiens de la province de Constantine (Subdivision de Batna),B335222107_10_02_06_03_001.jp2,,11280/91db95b7,79.6,,,,,,,,36.05,31.98,3.92,6.65,,
27,Lot 1,175854947,10-02-07-01,Carte agricole et industrielle de l'Algérie,B335222107_10_02_07_01_001.jp2,,11280/b639b80d,139.7,,,,,,,,37.92,32.98,-2.98,9.56,,
28,Lot 1,175854165,10-02-07-02,Carte agricole et industrielle de l'Algérie,B335222107_10_02_07_02_001.jp2,,11280/0a7babdb,127.6,,,,,,,,37.93,32.98,-3.02,9.51,,
29,Lot 1,177045388,10-02-08-01,Algérie Nord,B335222107_10_02_08_01_001.jp2,,11280/db695c3e,102.4,,,,,,,,37.22,31.96,-2.63,8.71,,
30,Lot 1,177050926,10-02-08-02,"Algérie Nord. Forêts domaniales, communales et particulières",B335222107_10_02_08_02_001.jp2,,11280/05f4aa6b,82.4,,,,,,,,37.31,31.83,-3.13,8.65,,
31,Lot 1,177052376,10-02-08-03,Carte des chemins de fer de l'Algérie. Projet d'un 3e emprunt,B335222107_10_02_08_03_001.jp2,,11280/6f947e4e,85.0,,,,,,,,37.24,33.03,-2.65,8.75,,
32,Lot 1,177051442,10-02-08-04,Algérie Nord. La colonisation officielle,B335222107_10_02_08_04_001.jp2,,11280/ce5ceca0,110.4,,,,,,,,37.3,31.93,-2.58,8.71,,
33,Lot 1,177055421,10-02-11-01,Département d'Alger. Carte des voies de communication,B335222107_10_02_11_01_001.jp2,,11280/1badec19,161.8,,,,,,,,37.05,34.75,0.58,4.79,,
34,Lot 1,177057564,10-02-11-02,Département d'Oran. Carte des voies de communication,B335222107_10_02_11_02_001.jp2,,11280/267837d1,157.1,,,,,,,,36.41,33.94,-2.15,2.29,,
35,Lot 1,177059559,10-02-11-03,Département de Constantine. Carte des voies de communication,B335222107_10_02_11_03_001.jp2,,11280/0368304b,163.2,,,,,,,,37.28,34.71,3.95,8.57,,
36,Lot 1,177056991,10-02-11-04,Département d'Alger. Carte des voies de communication,B335222107_10_02_11_04_001.jp2,,11280/eac26798,157.5,,,,,,,,37.06,34.75,0.55,4.8,,
37,Lot 1,177058323,10-02-11-05,Département d'Oran. Carte des voies de communication,B335222107_10_02_11_05_001.jp2,,11280/31951c07,155.6,,,,,,,,36.37,33.96,-2.15,2.3,,
38,Lot 1,177059850,10-02-11-06,Département de Constantine. Carte des voies de communication,B335222107_10_02_11_06_001.jp2,,11280/fa89df96,164.5,,,,,,,,37.28,34.71,3.94,8.59,,
39,Lot 1,176002626,10-02-12-01,"Plan de la place d'Oran et de ses ports, avec celle de Mers-El-Kébir en 1757",B335222107_10_02_12_01_001.jp2,,11280/7fb67f28,168.3,,,,,,,,,,,,,
40,Lot 1,176843477,10-02-13-01,"Algérie, Tunisie et Sahara central, pour servir particulièrement à l'intelligence des évenements actuels et notamment à suivre les deux explorations du colonel Flatters",B335222107_10_02_13_01_001.jp2,,11280/639457e4,51.1,,,,,,,,37.56,20.19,-4.16,14.11,,
41,Lot 1,176869689,10-02-13-06,Algérie. Tunisie,B335222107_10_02_13_06_001.jp2,,11280/15921a60,185.3,,,,,,,,37.76,31.83,-3.49,12.14,,
42,Lot 1,114479984,10-02-14-01,Carte de la Régence de Tunis dressée au Dépôt de la Guerre [nord],B335222107_10_02_14_01_001.jp2,,11280/f760674c,168.8,,,,,,,,37.29,35.12,8.08,12.23,,
43,Lot 1,114479984,10-02-14-02,Carte de la Régence de Tunis dressée au Dépôt de la Guerre [sud],B335222107_10_02_14_02_001.jp2,,11280/26684390,164.9,,,,,,,,35.34,32.33,7.72,11.98,,
44,Lot 1,176834311,10-02-14-03,Carte routière de la Tunisie au 1er janvier 1904,B335222107_10_02_14_03_001.jp2,,11280/325de04e,204.6,,,,,,,,37.71,32.93,7.77,12.11,,
45,Lot 1,176834826,10-02-14-04,Carte routière de la Tunisie au 1er juillet 1905,B335222107_10_02_14_04_001.jp2,,11280/265097d9,200.4,,,,,,,,37.7,32.95,7.76,12.12,,
46,Lot 1,175904065,10-02-15-04,Carte du Massif du Toubkal,B335222107_10_02_15_04_001.jp2,,11280/3fe46488,193.6,,,,,,,,31.16,31.0,-8.02,-7.9,,
47,Lot 1,175904065,10-02-15-05,Carte du Massif du Toubkal,B335222107_10_02_15_05_001.jp2,,11280/e3d4a37b,194.1,,,,,,,,31.17,30.99,-7.9,-7.78,,
48,Lot 1,175958602,10-02-15-06,Carte provisoire de la région de Casablanca d'après la carte du Maroc au 500 000e,B335222107_10_02_15_06_001.jp2,,11280/bc6af75e,159.2,,,,,,,,34.11,32.94,-8.78,-6.76,,
49,Lot 1,176182306,10-02-16-01,Maroc,B335222107_10_02_16_01_001.jp2,,11280/7d761e97,41.3,,,,,,,,36.39,28.79,-11.65,-1.67,,
50,Lot 1,176181113,10-02-16-02,Nouvelle carte du Maroc,B335222107_10_02_16_02_001.jp2,,11280/d5b80877,68.7,,,,,,,,37.25,29.85,-12.03,0.59,,
51,Lot 1,176184597,10-02-16-03,Carte du Maroc et de la frontière algérienne dressée au Bureau Militaire du Petit Journal,B335222107_10_02_16_03_001.jp2,,11280/34e74d97,166.1,,,,,,,,36.58,27.69,-11.95,0.34,,
52,Lot 1,176186638,10-02-17-02,Mazagan-Azemmour,B335222107_10_02_17_02_001.jp2,,11280/08bd6d50,141.5,,,11280/8d04d412,11280/03bbecd8,11280/7f55830d,11280/b1b08b3a,,,,,,,
53,Lot 1,176368930,10-02-18-01,Tanger,B335222107_10_02_18_01_001.jp2,,11280/af889e5f,132.1,,,,,,,,35.95,34.8,-6.99,-4.98,,
54,Lot 1,176369554,10-02-18-02,Fès. Vallée du Sebou,B335222107_10_02_18_02_001.jp2,,11280/99f1eaa1,130.6,,,,,,,,34.82,33.64,-6.82,-4.81,,
55,Lot 1,129590371,10-02-18-03,Mazagan,B335222107_10_02_18_03_001.jp2,,11280/03570c5d,129.3,,,,,,,,33.43,32.12,-9.18,-7.27,,
56,Lot 1,129591165,10-02-18-04,Casablanca,B335222107_10_02_18_04_001.jp2,,11280/cd6140e2,128.1,,,,,,,,34.11,32.92,-8.62,-6.71,,
57,Lot 1,129590908,10-02-18-05,Safi-Marrakech,B335222107_10_02_18_05_001.jp2,,11280/a2f3f62a,130.0,,,,,,,,32.61,31.48,-9.76,-7.87,,
58,Lot 1,129590592,10-02-18-06,Marrakech (les Dyara),B335222107_10_02_18_06_001.jp2,,11280/95e12aac,131.2,,,,,,,,32.24,31.05,-8.77,-6.86,,
59,Lot 1,129589535,10-02-18-07,Mogador-Taroudant,B335222107_10_02_18_07_001.jp2,,11280/0af4cf51,131.2,,,,,,,,31.57,30.37,-9.89,-7.96,,
60,Lot 1,75455234,10-02-19-01,Maroc. Carte dressée et dessinée par R. de Flotte de Roquevaire. Tanger-Casablanca,B335222107_10_02_19_01_001.jp2,,11280/a4549e27,108.2,,,,,,,,36.19,31.86,-12.12,-5.65,,
61,Lot 1,75455234,10-02-19-02,Maroc. Carte dressée et dessinée par R. de Flotte de Roquevaire. Fes-Rif,B335222107_10_02_19_02_001.jp2,,11280/a848fff9,115.1,,,,,,,,36.12,31.83,-5.9,1.19,,
62,Lot 1,75455234,10-02-19-03,Maroc. Carte dressée et dessinée par R. de Flotte de Roquevaire. Marrakech-Ouad Sous,B335222107_10_02_19_03_001.jp2,,11280/db44a043,0.0,,,,,,,,32.06,27.63,-11.79,-5.84,,(jp2) Erreur : Unable to open [object Object]: HTTP 500 attempting to load TileSource
63,Lot 1,75455234,10-02-19-04,Maroc. Carte dressée et dessinée par R. de Flotte de Roquevaire. Tafilelt-Ouad Saoura,B335222107_10_02_19_04_001.jp2,,11280/33924cae,109.9,,,,,,,,32.08,27.81,-5.55,0.63,,
64,Lot 1,161732313,10-02-19-05,Carte du Maroc dressée sous la direction de Henry Barrère. Casablanca,B335222107_10_02_19_05_001.jp2,,11280/07e0cd79,108.1,,,,,,,,36.13,31.94,-12.05,-5.96,,
65,Lot 1,161732313,10-02-19-06,Carte du Maroc dressée sous la direction de Henry Barrère. Fès,B335222107_10_02_19_06_001.jp2,,11280/cc96a9be,114.9,,,,,,,,35.99,31.98,-5.98,0.15,,
66,Lot 1,161732313,10-02-19-07,Carte du Maroc dressée sous la direction de Henry Barrère. Marrakech,B335222107_10_02_19_07_001.jp2,,11280/5d791595,103.6,,,,,,,,32.04,27.93,-12.0,-5.71,,
67,Lot 1,161732313,10-02-19-08,Carte du Maroc dressée sous la direction de Henry Barrère. Colomb-Bechar,B335222107_10_02_19_08_001.jp2,,11280/67bdc59c,110.8,,,,,,,,31.98,28.03,-5.95,0.3,,
68,Lot 1,175880077,10-02-23-01,Plan de Taza,B335222107_10_02_23_01_001.jp2,,11280/4cc96b76,65.9,,,,,,,,34.23,34.19,-4.03,-3.99,,
69,Lot 1,175881561,10-02-23-02,Plan de Fès,B335222107_10_02_23_02_001.jp2,,11280/4e48be3d,117.1,,,11280/0ea4c8dc,11280/9396f58a,11280/60295dcc,11280/ae505b41,,,,,,,
70,Lot 1,125370822,10-03-01-01,Carte de la côte française des Somalis et régions avoisinantes. Djibouti,B335222107_10_03_01_01_001.jp2,,11280/d8180c5d,159.6,,,,,,,,13.0,10.75,41.5,45.08,,
71,Lot 1,125419430,10-03-01-02,Carte de la côte française des Somalis et régions avoisinantes. Harrar,B335222107_10_03_01_02_001.jp2,,11280/c85f52ca,158.1,,,,,,,,10.78,8.47,41.64,45.07,,
72,Lot 1,125420439,10-03-01-03,Carte de la côte française des Somalis et régions avoisinantes. Addis-Ababa,B335222107_10_03_01_03_001.jp2,,11280/9470c6a7,114.1,,,,,,,,10.5,8.5,38.67,41.5,,
73,Lot 1,174094930,10-03-02-01,Carte du Ouadaï,B335222107_10_03_02_01_001.jp2,,11280/3b26c4aa,113.3,,,,,,,,16.09,10.73,18.5,25.14,,
74,Lot 1,160683874,10-03-02-02,Carte du Ouadaï [feuille nord],B335222107_10_03_02_02_001.jp2,,11280/110e927a,149.6,,,,,,,,15.19,12.8,19.32,23.27,,
75,Lot 1,160683874,10-03-02-03,Carte du Ouadaï [feuille sud],B335222107_10_03_02_03_001.jp2,,11280/ae9a47f2,147.0,,,,,,,,13.13,10.59,19.42,23.1,,
76,Lot 1,174119607,10-03-03-02,Mission A. Gruvel en Mauritanie,B335222107_10_03_03_02_001.jp2,,11280/e2bdf35a,25.8,,,,,,,,21.59,15.81,-18.25,-14.5,,
77,Lot 1,174187629,10-03-04-01,Mission Cortier. Carte de l'Aïr. Partie ouest,B335222107_10_03_04_01_001.jp2,,11280/60eff4e5,112.0,,,,,,,,19.59,16.38,5.63,7.91,,
78,Lot 1,174187629,10-03-04-02,Mission Cortier. Carte de l'Aïr. Partie est,B335222107_10_03_04_02_001.jp2,,11280/119b17ba,114.9,,,,,,,,19.6,16.3,7.85,10.12,,
79,Lot 1,149481373,10-03-04-03,Mission Cortier. Adrar des Ifoghas. Partie ouest,B335222107_10_03_04_03_001.jp2,,11280/7158828a,106.2,,,,,,,,21.03,17.93,-0.47,1.61,,
80,Lot 1,149481373,10-03-04-04,Mission Cortier. Adrar des Ifoghas. Partie est,B335222107_10_03_04_04_001.jp2,,11280/1af0696c,106.6,,,,,,,,21.03,17.93,1.5,3.47,,
81,Lot 1,176352023,10-03-05-01,Saint-Louis. Edition provisoire (Afrique),B335222107_10_03_05_01_001.jp2,,11280/4286f4bc,135.8,,,,,,,,20.03,15.98,-17.99,-11.95,,
82,Lot 1,176353097,10-03-05-02,Tidjikja. Edition provisoire (Afrique),B335222107_10_03_05_02_001.jp2,,11280/a343f5ea,139.9,,,,,,,,20.0,16.0,-12.0,-6.0,,
83,Lot 1,176353690,10-03-05-03,Tombouctou. Edition provisoire (Afrique),B335222107_10_03_05_03_001.jp2,,11280/e04500a9,137.1,,,,,,,,20.0,16.0,-6.0,0.0,,
84,Lot 1,176354034,10-03-05-04,Kidal. Edition provisoire (Afrique),B335222107_10_03_05_04_001.jp2,,11280/6090ad70,133.5,,,,,,,,20.0,16.0,0.0,6.0,,
85,Lot 1,174221576,10-03-06-01,Carte du Sahara et du nord-ouest de l'Afrique de la Méditerranée au Sénégal et au lac Tchad,B335222107_10_03_06_01_001.jp2,,11280/28fe97e1,170.2,,,,,,,,38.8,14.49,-24.4,19.42,,
86,Lot 1,174355939,10-03-06-02,"Carte de l'erg oriental, établie par le Lt Maîtrat, chef de l'Annexe d'El Oued",B335222107_10_03_06_02_001.jp2,,11280/a1b0949f,90.7,,,,,,,,34.11,29.34,6.45,10.98,,
87,Lot 1,174229887,10-03-06-03,Esquisse du Sahara algérien,B335222107_10_03_06_03_001.jp2,,11280/c6a9c564,154.1,,,,,,,,32.0,20.0,-9.67,5.67,,
88,Lot 1,176649808,10-03-07-01,Routes de caravanes du Sahara Occidental,B335222107_10_03_07_01_001.jp2,,11280/08b6a184,61.4,,,,,,,,36.83,10.2,-18.41,0.83,,
89,Lot 1,176648364,10-03-07-02,"Le Transsaharien, conférence de Mr Paul Soleillet. Carte du chemin de fer transsaharien",B335222107_10_03_07_02_001.jp2,,11280/0ec75088,18.6,,,,,,,,46.4,2.7,-23.29,22.7,,
90,Lot 1,174494440,10-03-09-01,Carte générale de l'Afrique équatoriale française,B335222107_10_03_09_01_001.jp2,,11280/88e78401,152.0,,,,,,,,17.87,11.89,12.33,21.51,,
91,Lot 1,174494440,10-03-09-02,Carte générale de l'Afrique équatoriale française,B335222107_10_03_09_02_001.jp2,,11280/f3be9e7e,153.8,,,,,,,,12.01,6.52,12.72,21.58,,
92,Lot 1,174494440,10-03-09-03,Carte générale de l'Afrique équatoriale française,B335222107_10_03_09_03_001.jp2,,11280/97a156d1,161.1,,,,,,,,6.56,0.89,12.88,21.36,,
93,Lot 1,174494440,10-03-09-04,Carte générale de l'Afrique équatoriale française,B335222107_10_03_09_04_001.jp2,,11280/5680734c,321.4,,,,,,,,2.56,-5.36,8.16,18.49,,
94,Lot 1,174494440,10-03-09-05,Carte générale de l'Afrique équatoriale française,B335222107_10_03_09_05_001.jp2,,11280/fef37c84,151.8,,,,,,,,9.01,4.04,19.63,28.06,,
95,Lot 1,175324808,10-03-10-01,Carte de l'Afrique équatoriale française. Planche nord,B335222107_10_03_10_01_001.jp2,,11280/01c53cca,55.5,,,,,,,,20.91,3.91,12.5,28.63,,
96,Lot 1,175323348,10-03-10-02,Afrique équatoriale française. Essai de carte hypsométrique. Feuille nord,B335222107_10_03_10_02_001.jp2,,11280/eae1eea3,30.4,,,,,,,,14.48,4.16,13.73,27.56,,
97,Lot 1,175323348,10-03-10-03,Afrique équatoriale française. Essai de carte hypsométrique. Feuille sud,B335222107_10_03_10_03_001.jp2,,11280/45ea90be,29.0,,,,,,,,4.15,10.84,7.71,20.68,,
98,Lot 1,175318417,10-03-10-04,Carte géologique de l'Afrique équatoriale française. Planche sud,B335222107_10_03_10_04_001.jp2,,11280/53becdca,28.7,,,,,,,,4.16,-5.95,8.26,21.78,,
99,Lot 1,175321434,10-03-10-05,Afrique équatoriale française. Carte ethnographique. Planche nord,B335222107_10_03_10_05_001.jp2,,11280/44c6d0e5,27.4,,,,,,,,14.39,4.09,13.7,27.35,,
100,Lot 1,17420504X,10-03-11-01,"Région des cours supérieurs de l'Ogôoué, de l'Alima et de la Licona (Carte provisoire)",B335222107_10_03_11_01_001.jp2,,11280/a94262d5,70.2,,,,,,,,0.42,-1.98,11.67,15.06,,
101,Lot 1,174532660,10-03-12-01,Colonie du Gabon et du Congo français. Reconnaissances préliminaires pour l'étude des voies de communication entre la côte du Loango et Brazzaville par la vallée du Konilou-Niari,B335222107_10_03_12_01_001.jp2,,11280/7548eb28,163.6,,,,,,,,-3.63,-4.7,11.63,13.17,,
102,Lot 1,174532660,10-03-12-02,Colonie du Gabon et du Congo français. Reconnaissances préliminaires pour l'étude des voies de communication entre la côte du Loango et Brazzaville par la vallée du Konilou-Niari,B335222107_10_03_12_02_001.jp2,,11280/1f68d0fd,105.0,,,,,,,,-3.64,-4.35,13.15,13.99,,
103,Lot 1,174532660,10-03-12-03,Colonie du Gabon et du Congo français. Reconnaissances préliminaires pour l'étude des voies de communication entre la côte du Loango et Brazzaville par la vallée du Konilou-Niari,B335222107_10_03_12_03_001.jp2,,11280/ca8e155e,159.9,,,,,,,,-3.69,-4.65,13.93,15.55,,
104,Lot 1,174538944,10-03-13-01,"Cours du Congo entre le Pool et Bonga, rivières Alima et Nkeni",B335222107_10_03_13_01_001.jp2,,11280/70abfb16,156.8,,,,,,,,-1.11,-3.49,15.8,17.36,,
105,Lot 1,174540949,10-03-13-02,"Cours du Congo entre Bonga et l'Equateur, rivières Ubangui et Sangha",B335222107_10_03_13_02_001.jp2,,11280/7eef3bba,155.6,,,,,,,,1.27,-1.17,16.67,18.32,,
106,Lot 1,174415893,10-03-14-02,Colonie du Gabon. Afrique Equatoriale Française,B335222107_10_03_14_02_001.jp2,,11280/8f2a3b3d,142.7,,,,,,,,2.51,-4.44,8.63,14.7,,
107,Lot 1,174431368,10-03-15-04,Congo français,B335222107_10_03_15_04_001.jp2,,11280/d92478ce,149.3,,,,,,,,7.33,-5.06,7.75,16.65,,
108,Lot 1,17521204X,10-03-15-05,Carte du bassin du Niari (Loudima-Comba),B335222107_10_03_15_05_001.jp2,,11280/ac4fdbac,129.4,,,,,,,,-3.92,-4.75,13.0,14.61,,
109,Lot 1,175214565,10-03-15-06,Projet de plan de lotissement pour la ville de Pointe Noire,B335222107_10_03_15_06_001.jp2,,11280/500d9d1f,118.7,,,11280/c417d758,11280/8ba4776d,11280/bbdd0b51,11280/2e95ef95,,,,,,,
110,Lot 1,17455916X,10-04-01-01,Afrique Occidentale Française. Carte murale à l'usage des écoles,B335222107_10_04_01_01_001.jp2,,11280/cc646332,0.0,,,,,,,,25.28,2.67,-17.83,15.71,,(jp2) Erreur : Unable to open [object Object]: HTTP 500 attempting to load TileSource
111,Lot 1,17492173X,10-04-02-01,Afrique Occidentale Française,B335222107_10_04_02_01_001.jp2,,11280/2b655a13,34.2,,,,,,,,19.0,2.91,-20.42,15.75,,
112,Lot 1,174932731,10-04-02-02,Afrique occidentale française,B335222107_10_04_02_02_001.jp2,,11280/d42e5642,57.7,,,,,,,,27.62,-0.31,-21.14,21.68,,
113,Lot 1,174925174,10-04-02-03,Carte des fuseaux horaires de l'Afrique occidentale française,B335222107_10_04_02_03_001.jp2,,11280/155b4729,84.5,,,,,,,,24.02,1.68,-17.71,15.9,,
114,Lot 1,09041151X,10-04-03-01,Carte de l'Afrique occidentale française. Dakar,B335222107_10_04_03_01_001.jp2,,11280/38036b8f,115.4,,,,,,,,20.38,11.36,-19.3,-7.44,,
115,Lot 1,90425987,10-04-03-02,Carte de l'Afrique occidentale française. Tombouctou,B335222107_10_04_03_02_001.jp2,,11280/9c55e267,116.1,,,,,,,,20.01,11.49,-7.68,4.36,,
116,Lot 1,90436997,10-04-03-03,Carte de l'Afrique occidentale française. Konakry,B335222107_10_04_03_03_001.jp2,,11280/ed325cc7,115.2,,,,,,,,11.5,3.1,-19.72,-7.21,,
117,Lot 1,176366083,10-04-03-04,Carte de l'Afrique occidentale française. Konakry,B335222107_10_04_03_04_001.jp2,,11280/08f40d92,112.1,,,,,,,,11.7,3.06,-18.37,-7.17,,
118,Lot 1,176192557,10-04-05-01,Carte des colonies de l'A.O.F. Daloa,B335222107_10_04_05_01_001.jp2,,11280/f20fbcef,136.7,,,,,,,,8.0,5.98,-8.98,-6.0,,
119,Lot 1,176486496,10-04-05-02,Carte des colonies de l'A.O.F. Tinsou,B335222107_10_04_05_02_001.jp2,,11280/45eeb85d,76.2,,,,,,,,8.07,5.92,-10.54,-8.95,,
120,Lot 1,176487093,10-04-05-03,Carte des colonies de l'A.O.F. Tabou,B335222107_10_04_05_03_001.jp2,,11280/7c852530,132.6,,,,,,,,5.97,4.0,-9.03,-5.98,,
121,Lot 1,176651004,10-04-05-04,Carte des colonies de l'A.O.F. Bouaké,B335222107_10_04_05_04_001.jp2,,11280/dff655ce,136.6,,,,,,,,8.03,5.97,-6.01,-2.98,,
122,Lot 1,176651233,10-04-05-05,Carte des colonies de l'A.O.F. Bingerville,B335222107_10_04_05_05_001.jp2,,11280/162913d6,131.0,,,,,,,,6.0,4.0,-6.0,-3.0,,
123,Lot 1,176651993,10-04-05-06,Carte des colonies de l'A.O.F. Kindia,B335222107_10_04_05_06_001.jp2,,11280/d5ecbe7b,134.8,,,,,,,,,,,,,
124,Lot 1,176651993,10-04-05-06,Carte des colonies de l'A.O.F. Kindia,B335222107_10_04_05_06_002.jp2,,11280/1b2c0c8f,11.0,,,,,,,,,,,,,Notice cartographique
125,Lot 1,176651993,10-04-05-06,Carte des colonies de l'A.O.F. Kindia,B335222107_10_04_05_06_003.jp2,,11280/7a215a23,20.1,,,,,,,,,,,,,Suite de la notice
126,Lot 1,176651993,10-04-05-06,Carte des colonies de l'A.O.F. Kindia,B335222107_10_04_05_06_004.jp2,,11280/a6a407fb,10.1,,,,,,,,,,,,,Suite de la notice
127,Lot 1,176652388,10-04-05-07,Carte des colonies de l'A.O.F. Conakry,B335222107_10_04_05_07_001.jp2,,11280/6b45d05b,130.3,,,,,,,,,,,,,
128,Lot 1,176652388,10-04-05-07,Carte des colonies de l'A.O.F. Conakry,B335222107_10_04_05_07_002.jp2,,11280/de34a1a5,9.8,,,,,,,,,,,,,Notice
129,Lot 1,176652388,10-04-05-07,Carte des colonies de l'A.O.F. Conakry,B335222107_10_04_05_07_003.jp2,,11280/6183efa5,19.0,,,,,,,,,,,,,Suite de la notice
130,Lot 1,176657649,10-04-05-08,Carte des colonies de l'A.O.F. Bougouni,B335222107_10_04_05_08_001.jp2,,11280/190a94b3,128.2,,,,,,,,12.0,10.0,-9.0,-6.0,,
131,Lot 1,176659072,10-04-05-09,Carte des colonies de l'A.O.F. Kissidougou,B335222107_10_04_05_09_001.jp2,,11280/5780b8b9,129.9,,,,,,,,10.0,8.0,-12.0,-9.0,,
132,Lot 1,176659412,10-04-05-10,Carte des colonies de l'A.O.F. Kankan,B335222107_10_04_05_10_001.jp2,,11280/f696d8ff,133.1,,,,,,,,,,,,,
