,Lot,PPN,cote,titre,nom de fichier attendu v2,Nalaka (JP2),handle Nakala jp2,poids (MB),georef,handle_full_georef,handle geotiff,handle geotiff pdf,handle geotiff points,handle geotiff jp2,poids (MB).1,northlimit,southlimit,westlimit,eastlimit,group,Notes
717,Lot 2,180668315,10-12-07-02,Mapa del Peru,B335222107_10_12_07_02_001.jp2,,11280/5c58d132,101.1,,,,,,,,,,,,,
718,Lot 2,180668889,10-12-07-03,Mapa del Peru,B335222107_10_12_07_03_001.jp2,,11280/30d92023,102.1,,,,,,,,,,,,,
719,Lot 2,180670301,10-12-07-04,Mapa del Peru,B335222107_10_12_07_04_001.jp2,,11280/49b2d669,109.3,,,,,,,,,,,,,
720,Lot 2,180670557,10-12-07-05,Mapa del Peru,B335222107_10_12_07_05_001.jp2,,11280/028906b2,106.0,,,,,,,,,,,,,
721,Lot 2,180670700,10-12-07-06,Mapa del Peru,B335222107_10_12_07_06_001.jp2,,11280/9d4e7192,93.0,,,,,,,,,,,,,
722,Lot 2,180671359,10-12-07-07,Mapa del Peru,B335222107_10_12_07_07_001.jp2,,11280/ef200f18,107.0,,,,,,,,,,,,,
723,Lot 2,180672118,10-12-07-08,Mapa del Peru,B335222107_10_12_07_08_001.jp2,,11280/6835d2e7,110.8,,,,,,,,,,,,,
724,Lot 2,180672541,10-12-07-09,Mapa del Peru,B335222107_10_12_07_09_001.jp2,,11280/119c1551,107.5,,,,,,,,,,,,,
725,Lot 2,180672827,10-12-07-10,Mapa del Peru,B335222107_10_12_07_10_001.jp2,,11280/86a23ad8,99.3,,,,,,,,,,,,,
726,Lot 2,180673130,10-12-07-11,Mapa del Peru,B335222107_10_12_07_11_001.jp2,,11280/1c07419d,93.9,,,,,,,,,,,,,
727,Lot 2,180673424,10-12-07-12,Mapa del Peru,B335222107_10_12_07_12_001.jp2,,11280/ef55faf5,105.3,,,,,,,,,,,,,
728,Lot 2,180673696,10-12-07-13,Mapa del Peru,B335222107_10_12_07_13_001.jp2,,11280/e4114e88,117.9,,,,,,,,,,,,,
729,Lot 2,18067403X,10-12-07-14,Mapa del Peru,B335222107_10_12_07_14_001.jp2,,11280/5ffb8092,105.9,,,,,,,,,,,,,
730,Lot 2,135906695,10-12-08-01,Sociedade Nacional de Agricultura. Esboço do mappa physico do Brazil,B335222107_10_12_08_01_001.jp2,,11280/0d6f09d2,103.9,,,11280/f8bf8c4d,11280/ced0f0ef,11280/c534e6fc,,440.4,,,,,,
731,Lot 2,135906695,10-12-08-02,Sociedade Nacional de Agricultura. Ensaio de mappa geologico do Brazil,B335222107_10_12_08_02_001.jp2,,11280/d3d1ad62,106.6,,,11280/7909cfde,11280/4c6bbba0,11280/3ab1bf28,,445.2,,,,,,
732,Lot 2,135906695,10-12-08-03,Sociedade Nacional de Agricultura. Mappa climatologico do Brazil,B335222107_10_12_08_03_001.jp2,,11280/251e9566,106.4,,,11280/c71d6563,11280/e2b9da1e,11280/26d197cf,,436.6,,,,,,
733,Lot 2,135906695,10-12-08-04,Sociedade Nacional de Agricultura. Mappa demographico do Brazil,B335222107_10_12_08_04_001.jp2,,11280/8d234412,107.7,,,11280/567f694c,11280/799f6cf1,11280/da0da8dc,,439.8,,,,,,
734,Lot 2,135906695,10-12-08-05,Sociedade Nacional de Agricultura. Ensaio de mappa agrologico do Brazil,B335222107_10_12_08_05_001.jp2,,11280/8f1f546e,108.5,,,11280/da1af69e,11280/9c24222a,11280/7a436901,,451.5,,,,,,
735,Lot 2,135906695,10-12-08-06,Sociedade Nacional de Agricultura. Distribuçao da Mangabeira no Brazil (arbre à caoutchouc),B335222107_10_12_08_06_001.jp2,,11280/1bd6f9af,105.4,,,11280/c55f8e92,11280/fc9e2cbe,11280/82ebe755,,431.4,,,,,,
736,Lot 2,135906695,10-12-08-07,Sociedade Nacional de Agricultura. Distribuçao da Maniçoba no Brazil (caoutchouc Ceara),B335222107_10_12_08_07_001.jp2,,11280/93e3fd2a,101.5,,,11280/b53d632a,11280/13d4447b,11280/c4ae0717,,418.5,,,,,,
737,Lot 2,135906695,10-12-08-08,Sociedade Nacional de Agricultura. Distribuçao da Seringueira no Brazil (caoutchouc Para),B335222107_10_12_08_08_001.jp2,,11280/99fa36e5,103.3,,,11280/93bc1f76,11280/70b86f20,11280/b9f11b1e,,426.7,,,,,,
738,Lot 2,135906695,10-12-08-09,Sociedade Nacional de Agricultura. Cultura do café no Brazil,B335222107_10_12_08_09_001.jp2,,11280/d4bbc0ca,103.4,,,11280/18f13b59,11280/08c71838,11280/5478203a,,422.5,,,,,,
739,Lot 2,135906695,10-12-08-10,Sociedade Nacional de Agricultura. Cultura da canna no Brazil,B335222107_10_12_08_10_001.jp2,,11280/9e49b8aa,100.7,,,,,,,,,,,,,
740,Lot 2,135906695,10-12-08-11,Sociedade Nacional de Agricultura. Cultura da herva matte (Ilex paraguayensis) no Brazil,B335222107_10_12_08_11_001.jp2,,11280/067c1734,100.7,,,,,,,,,,,,,
741,Lot 2,135906695,10-12-08-12,Sociedade Nacional de Agricultura. Cultura do fumo (tabac) no Brazil,B335222107_10_12_08_12_001.jp2,,11280/06acb9f5,102.2,,,,,,,,,,,,,
742,Lot 2,135906695,10-12-08-13,Sociedade Nacional de Agricultura. Cultura do cacao no Brazil,B335222107_10_12_08_13_001.jp2,,11280/84b570ff,103.4,,,,,,,,,,,,,
743,Lot 2,135906695,10-12-08-14,Sociedade Nacional de Agricultura. Cultura do algodao (coton) no Brazil,B335222107_10_12_08_14_001.jp2,,11280/54c92788,101.3,,,,,,,,,,,,,
744,Lot 2,135906695,10-12-08-15,Sociedade Nacional de Agricultura. Distribuiçao dos pinheiraes (Araucaria brasiliensis) no Brazil,B335222107_10_12_08_15_001.jp2,,11280/0c76320c,101.7,,,,,,,,,,,,,
745,Lot 2,135906695,10-12-08-16,"Sociedade Nacional de Agricultura. Distribuiçao da seringueira, mangabeira e da maniçoba",B335222107_10_12_08_16_001.jp2,,11280/7a5404a7,107.5,,,,,,,,,,,,,
746,Lot 2,135906695,10-12-08-17,"Sociedade Nacional de Agricultura. Cacao, exportaçao por portos de procedencia",B335222107_10_12_08_17_001.jp2,,11280/37ac14af,100.4,,,,,,,,,,,,,
747,Lot 2,135906695,10-12-08-18,"Sociedade Nacional de Agricultura. Café, exportaçao por portos de procedencia",B335222107_10_12_08_18_001.jp2,,11280/69b6d954,99.1,,,,,,,,,,,,,
748,Lot 2,135906695,10-12-08-19,"Sociedade Nacional de Agricultura. Algodao (coton), exportaçao por portos de procedencia",B335222107_10_12_08_19_001.jp2,,11280/5609875a,98.6,,,,,,,,,,,,,
749,Lot 2,135906695,10-12-08-20,"Sociedade Nacional de Agricultura. Canna (canne à sucre), exportaçao por portos de procedencia",B335222107_10_12_08_20_001.jp2,,11280/03c448ab,,,,,,,,,,,,,,(jp2) Erreur : Unable to open [object Object]: HTTP 500 attempting to load TileSource
750,Lot 2,135906695,10-12-08-21,"Sociedade Nacional de Agricultura. Fumo (tabac), exportaçao por portos de procedencia",B335222107_10_12_08_21_001.jp2,,11280/a072e904,100.9,,,,,,,,,,,,,
751,Lot 2,135906695,10-12-08-22,"Sociedade Nacional de Agricultura. Borracha (caoutchouc), exportaçao por portos de procedencia",B335222107_10_12_08_22_001.jp2,,11280/f3b61d07,101.3,,,,,,,,,,,,,
752,Lot 2,135906695,10-12-08-23,"Sociedade Nacional de Agricultura. Matte (Matte), exportaçao por portos de procedencia",B335222107_10_12_08_23_001.jp2,,11280/00454c4d,99.6,,,,,,,,,,,,,
753,Lot 2,135906695,10-12-08-24,"Sociedade Nacional de Agricultura. Couros (cuirs), exportaçao por portos de procedencia",B335222107_10_12_08_24_001.jp2,,11280/49da7a0b,101.3,,,,,,,,,,,,,
754,Lot 2,135906695,10-12-08-25,"Sociedade Nacional de Agricultura. Madeiras (bois), exportaçao por portos de procedencia",B335222107_10_12_08_25_001.jp2,,11280/60af2397,97.5,,,,,,,,,,,,,
755,Lot 2,135906695,10-12-08-26,Sociedade Nacional de Agricultura. Superficie do Brazil comparada com as dos paizes da Europa e America,B335222107_10_12_08_26_001.jp2,,11280/16c052f9,98.1,,,,,,,,,,,,,
756,Lot 2,054372186,10-12-09-01,"Brésil, carte Politique et Economique",B335222107_10_12_09_01_001.jp2,,11280/35631761,251.4,,,11280/5a24ea59,11280/56f0e014,11280/4bb25360,,1000.0,,,,,,
757,Lot 2,180745816,10-12-09-02,Chart of the lighthouses of the Brazilian coast,B335222107_10_12_09_02_001.jp2,,11280/e4d60e04,127.5,,,,,,,,,,,,,
758,Lot 2,180746790,10-12-09-03,Mapa geologico do estado de Minas Geraes,B335222107_10_12_09_03_001.jp2,,11280/59b892e2,390.7,,,,,,,,,,,,,
759,Lot 2,054372194,10-12-10-01,"Carta geral do estado de Sao Paulo. Com indicaçoes sobre a agricultura, commercio, instrucçao publica, industria e colonisaçao",B335222107_10_12_10_01_001.jp2,,11280/4ffb40dd,56.8,,,,,,,,,,,,,
760,Lot 2,180721046,10-12-10-02,Carta de progresso da Commissao Geographica e Geologica de S. Paulo,B335222107_10_12_10_02_001.jp2,,11280/94f9ca5d,51.0,,,,,,,,,,,,,
761,Lot 2,180717111,10-12-10-03,Carta geral do estado de Sao Paulo. Organizada pela Commissao Geographica e Geologica,B335222107_10_12_10_03_001.jp2,,11280/7f217ef6,203.7,,,,,,,,,,,,,
762,Lot 2,180718827,10-12-10-04,"Estado de Sao Paulo, mappa geologico physico politico e economico",B335222107_10_12_10_04_001.jp2,,11280/40c52fbf,364.3,,,,,,,,,,,,,
763,Lot 2,180725084,10-12-11-01,Pirassununga,B335222107_10_12_11_01_001.jp2,,11280/02375983,89.8,,,,,,,,,,,,,
764,Lot 2,180725408,10-12-11-02,Casa Branca,B335222107_10_12_11_02_001.jp2,,11280/02ad1837,93.4,,,,,,,,,,,,,
765,Lot 2,180725661,10-12-11-03,Jahu,B335222107_10_12_11_03_001.jp2,,11280/ef09b3a6,90.8,,,,,,,,,,,,,
766,Lot 2,180726080,10-12-11-04,S. Carlos do Pinhal,B335222107_10_12_11_04_001.jp2,,11280/62cb09fd,91.4,,,,,,,,,,,,,
767,Lot 2,180726285,10-12-11-05,Rio Claro,B335222107_10_12_11_05_001.jp2,,11280/a0607e68,94.0,,,,,,,,,,,,,
768,Lot 2,180726544,10-12-11-06,Mogy-Mirim,B335222107_10_12_11_06_001.jp2,,11280/4c642669,92.6,,,,,,,,,,,,,
769,Lot 2,180726706,10-12-11-07,Ouro Fino,B335222107_10_12_11_07_001.jp2,,11280/55360150,105.6,,,,,,,,,,,,,
770,Lot 2,180726900,10-12-11-08,Botucatu,B335222107_10_12_11_08_001.jp2,,11280/a6f25cec,89.5,,,,,,,,,,,,,
771,Lot 2,18073590X,10-12-11-09,S. Pedro,B335222107_10_12_11_09_001.jp2,,11280/7ef00594,90.4,,,,,,,,,,,,,
772,Lot 2,180736108,10-12-11-10,Piracicaba,B335222107_10_12_11_10_001.jp2,,11280/a6cea642,91.5,,,,,,,,,,,,,
773,Lot 2,180736310,10-12-11-11,Campinas,B335222107_10_12_11_11_001.jp2,,11280/03b83ce9,96.0,,,,,,,,,,,,,
774,Lot 2,180736604,10-12-11-12,Bragança,B335222107_10_12_11_12_001.jp2,,11280/856f8478,100.0,,,,,,,,,,,,,
775,Lot 2,18073718X,10-12-11-13,S. Bento,B335222107_10_12_11_13_001.jp2,,11280/ff212bc1,103.3,,,,,,,,,,,,,
776,Lot 2,18073749X,10-12-11-14,Pindamonhangaba,B335222107_10_12_11_14_001.jp2,,11280/79f333dc,97.8,,,,,,,,,,,,,
777,Lot 2,180738232,10-12-11-15,Guarehy,B335222107_10_12_11_15_001.jp2,,11280/7f97126d,92.5,,,,,,,,,,,,,
778,Lot 2,180738585,10-12-11-16,Ytu,B335222107_10_12_11_16_001.jp2,,11280/536b762b,95.1,,,,,,,,,,,,,
779,Lot 2,180738941,10-12-11-17,Jundiahy,B335222107_10_12_11_17_001.jp2,,11280/30e2d7d9,99.8,,,,,,,,,,,,,
780,Lot 2,180739115,10-12-11-18,Atibaia,B335222107_10_12_11_18_001.jp2,,11280/aee139a5,102.8,,,,,,,,,,,,,
781,Lot 2,180739387,10-12-11-19,Jacarehy,B335222107_10_12_11_19_001.jp2,,11280/06e7b98f,98.6,,,,,,,,,,,,,
782,Lot 2,180739735,10-12-11-20,S. Roque,B335222107_10_12_11_20_001.jp2,,11280/3177366c,98.9,,,,,,,,,,,,,
